"Domain","Value","Order Sequence"
"BOOLEAN_YES_NO","yes","1"
"BOOLEAN_YES_NO","no","2"
"BOOLEAN_TRUE_FALSE","true","1"
"BOOLEAN_TRUE_FALSE","false","2"
"AIMS_SUBMISSION_TYPE","Intake","1"
"AIMS_SUBMISSION_TYPE","Discharge","2"
"AIMS_PROGRAM_TYPE","DEWW - Day Treatment for Women","1"
"AIMS_PROGRAM_TYPE","DEWM - Day Treatment for Men","2"
"AIMS_PROGRAM_TYPE","DEWC - Co-ed Day Treatment","3"
"AIMS_PROGRAM_TYPE","DEWY - Day Treatment for Youth","4"
"AIMS_PROGRAM_TYPE","RESD - Residential Treatment","5"
"AIMS_PROGRAM_TYPE","WDMT - Withdrawal management","6"
"AIMS_PROGRAM_TYPE","SUPR - Supportive Recovery","7"
"AIMS_PROGRAM_TYPE","PRGA - Problem Gambling","8"
"AIMS_PROGRAM_TYPE","PGTC - Problem Gambling Phone Counselling","9"
"AIMS_PROGRAM_TYPE","OUTP - Outpatient Services","10"
"AIMS_PROGRAM_TYPE","OTRC - Co-ed Outreach Services","11"
"AIMS_PROGRAM_TYPE","BEST - DWI Program","12"
"AIMS_PROGRAM_TYPE","EAPP - Employee Assistance Programs","13"
"AIMS_PROGRAM_TYPE","PHYC - Physician","14"
"AIMS_PROGRAM_TYPE","SBPP - School-based Prevention Program","15"
"AIMS_PROGRAM_TYPE","RESW - Residential Treatment for Women","16"
"AIMS_PROGRAM_TYPE","SUPC - Co-ed Supportive Recovery","17"
"AIMS_PROGRAM_TYPE","SBRC - Sobering Centre","18"
"AIMS_PROGRAM_TYPE","RESM - Residential Treatment for Men","19"
"AIMS_PROGRAM_TYPE","RESY - Residential Treatment for Youth","20"
"AIMS_PROGRAM_TYPE","WDMW - Withdrawal management for Women","21"
"AIMS_PROGRAM_TYPE","WDMM - Withdrawal management for Men","22"
"AIMS_PROGRAM_TYPE","WDMY - Withdrawal management for Youth","23"
"AIMS_PROGRAM_TYPE","SUPW - Supportive Recovery for Women","24"
"AIMS_PROGRAM_TYPE","SUPM - Supportive Recovery for Men","25"
"AIMS_PROGRAM_TYPE","SUPY - Supportive Recovery for Youth","26"
"AIMS_PROGRAM_TYPE","TNSC - Co-ed Transition/Stabilization","27"
"AIMS_PROGRAM_TYPE","TNSM - Transition/Stabilization for Men","28"
"AIMS_PROGRAM_TYPE","TNSW - Transition/Stabilization for Women","29"
"AIMS_PROGRAM_TYPE","OUTY - Outpatient Services for Youth","30"
"AIMS_PROGRAM_TYPE","OTRY - Outreach Services for Youth","31"
"AIMS_PROGRAM_TYPE","DUDX - Dual Diagnosis Program","32"
"AIMS_PROGRAM_TYPE","SAMY - Substance Abuse Management for Youth","33"
"AIMS_PROGRAM_TYPE","YCCP - Youth Custody Centre Addictions Counsellor Program","34"
"AIMS_PROGRAM_TYPE","MCPY - Multi Component Program for Youth","35"
"AIMS_OFFICE_CODE","ABA - Kootenays Region","1"
"AIMS_OFFICE_CODE","DBA - Okanagan Region","2"
"AIMS_OFFICE_CODE","EBA - Thompson/Cariboo Region","3"
"AIMS_OFFICE_CODE","FBA - Upper Fraser Region","4"
"AIMS_OFFICE_CODE","GBA - South Fraser Region","5"
"AIMS_OFFICE_CODE","HBA - Simon Fraser Region","6"
"AIMS_OFFICE_CODE","JBA - Coast/North Shore Region","7"
"AIMS_OFFICE_CODE","KBA - Central/Upper Island Region","8"
"AIMS_OFFICE_CODE","QBA - North Region","9"
"AIMS_OFFICE_CODE","RBA - Vancouver/Richmond Region","10"
"AIMS_OFFICE_CODE","SBA - Vancouver Direct Services","11"
"AIMS_OFFICE_CODE","VBA - Capital Region","12"
"AIMS_REFERRAL_SOURCE","ABOR - Aboriginal Organization","1"
"AIMS_REFERRAL_SOURCE","ABCP - Aboriginal child protection","2"
"AIMS_REFERRAL_SOURCE","BANK - Bankruptcy Trustee","3"
"AIMS_REFERRAL_SOURCE","CHPR - Chid Protection","4"
"AIMS_REFERRAL_SOURCE","CLGY - Clergy","5"
"AIMS_REFERRAL_SOURCE","COMM - Community Service Organization","6"
"AIMS_REFERRAL_SOURCE","CSAM - Substance Abuse Management","7"
"AIMS_REFERRAL_SOURCE","DEBT - Debtors' Assistance Agency","8"
"AIMS_REFERRAL_SOURCE","EAPL - Employee Assistance Plan","9"
"AIMS_REFERRAL_SOURCE","EDUC - Educational Institution","10"
"AIMS_REFERRAL_SOURCE","EMPL - Employer","11"
"AIMS_REFERRAL_SOURCE","FAMI - Family/Friend","12"
"AIMS_REFERRAL_SOURCE","GAMB - Gambling or gaming facility","13"
"AIMS_REFERRAL_SOURCE","HOSP - Hospital","14"
"AIMS_REFERRAL_SOURCE","IRAD - Information and Referral Services - for Alcohol and Drug","15"
